chrom	start	end	A549_WT_01dex_A	A549_WT_01dex_B	A549_WT_0dex_A	A549_WT_0dex_B	A549_WT_100dex_A	A549_WT_100dex_B	U20S_WT_01dex_A	U20S_WT_01dex_B	U20S_WT_0dex_A	U20S_WT_0dex_B	U20S_WT_100dex_A	U20S_WT_100dex_B
10762	chr20	31608190	31608960	63	267	67	222	228	333	91	127	107	222	13	52
10763	chr20	31610560	31610980	7	19	9	16	11	10	5	8	1	6	0	2
10764	chr20	31612910	31613240	0	2	0	3	3	1	4	10	5	17	5	11
10765	chr20	31661540	31662540	231	696	247	595	537	530	339	338	139	254	113	256
10766	chr20	31696170	31696690	42	97	23	85	60	82	30	43	8	29	10	36
10767	chr20	31699030	31699780	73	184	63	130	108	109	75	69	29	44	18	51
10768	chr20	31704570	31705340	49	144	34	116	51	65	93	64	25	45	23	48
10769	chr20	31712600	31713700	177	475	174	328	371	364	349	368	131	237	142	360
10770	chr20	31719530	31720820	277	701	179	541	408	443	316	355	105	259	88	224
10771	chr20	31836080	31836460	7	21	12	18	11	9	9	6	5	6	3	7
10772	chr20	31842040	31842500	13	37	20	23	32	17	29	37	17	56	7	31
10773	chr20	31861440	31861910	9	44	31	34	31	36	0	0	0	0	0	2
10774	chr20	31879300	31880190	35	150	90	196	78	131	30	60	55	61	26	114
10775	chr20	31987800	31988190	3	2	4	7	1	0	1	1	0	1	1	0
10776	chr20	32018280	32019120	8	22	15	30	10	18	63	86	76	81	34	75
10777	chr20	32067430	32067840	0	0	0	1	1	0	13	33	11	20	2	22
10778	chr20	32068940	32069540	0	0	0	1	0	0	26	27	10	28	6	15
10779	chr20	32074380	32074660	0	0	0	0	0	0	3	1	0	0	9	10
10780	chr20	32074680	32075030	0	0	0	0	0	0	3	2	0	0	2	9
10781	chr20	32204150	32204560	5	17	3	9	12	15	47	25	8	17	12	32
10782	chr20	32355080	32355420	4	12	4	23	9	9	81	57	59	83	26	44
10783	chr20	32355440	32355700	3	2	0	11	7	8	91	47	37	63	13	39
10784	chr20	32474950	32476030	60	241	86	236	116	151	104	110	55	117	27	108
10785	chr20	32627260	32627540	0	0	0	0	0	1	2	5	5	8	1	8
10786	chr20	33278050	33278400	9	11	4	14	4	7	0	0	0	0	0	0
10787	chr20	33423130	33423550	4	7	8	25	6	7	5	17	10	23	6	30
10788	chr20	33663410	33664420	148	449	241	520	345	403	300	472	270	535	154	490
10789	chr20	33733550	33734310	78	193	105	184	171	158	31	44	12	17	55	103
10790	chr20	33789350	33789970	8	47	15	40	27	23	20	36	4	37	16	37
10791	chr20	33909380	33909950	0	0	0	0	0	0	9	9	2	18	4	5
10792	chr20	34179780	34180040	0	0	0	1	0	0	5	3	0	0	0	1
10793	chr20	34215860	34216570	3	7	3	12	4	4	24	27	13	32	14	27
10794	chr20	34512620	34512940	10	15	2	8	5	8	10	16	2	11	1	9
10795	chr20	34709170	34709490	18	55	31	46	30	36	27	55	27	55	13	48
10796	chr20	35215160	35215860	9	12	11	13	12	11	20	20	8	51	2	7
10797	chr20	35240240	35240540	2	11	6	12	5	2	1	1	0	0	0	0
10798	chr20	35257580	35257920	5	21	13	28	10	13	4	3	1	11	2	0
10799	chr20	35260610	35260930	7	22	3	15	12	13	9	19	4	14	3	16
10800	chr20	35262930	35264580	190	568	193	565	358	457	574	597	389	687	223	677
10801	chr20	35302720	35304300	30	71	31	54	61	62	431	477	108	248	232	519
10802	chr20	35305390	35306550	40	86	26	71	62	66	424	397	124	331	191	453
10803	chr20	35307910	35308510	4	10	8	17	11	10	161	207	34	81	61	153
10804	chr20	35318480	35319070	16	28	13	21	17	13	122	93	39	139	23	83
10805	chr20	35320020	35320590	11	12	6	16	5	3	65	75	38	117	16	42
10806	chr20	35768960	35769480	19	49	18	58	30	35	5	5	2	5	1	1
10807	chr20	35821880	35822170	1	0	2	2	2	4	9	9	9	14	4	3
10808	chr20	35875390	35875960	2	12	2	8	4	1	16	15	9	10	8	13
10809	chr20	35883570	35884680	17	38	11	33	71	57	140	141	26	83	66	155
10810	chr20	36017270	36017940	20	54	16	52	27	20	3	6	3	6	4	3
10811	chr20	36050580	36051400	23	75	54	91	58	58	32	46	42	44	21	66
10812	chr20	36063940	36065400	92	233	170	260	125	198	48	89	33	53	34	81
10813	chr20	36085120	36085630	20	74	16	78	40	45	0	1	0	1	0	0
10814	chr20	36085640	36086260	45	170	44	177	114	87	11	4	2	6	7	1
10815	chr20	36436090	36436340	3	4	4	9	8	11	0	0	0	0	0	2
10816	chr20	36454510	36455320	0	1	0	5	0	2	15	18	11	36	2	16
10817	chr20	36465250	36465890	22	100	19	82	36	63	32	64	30	103	5	27
10818	chr20	36550760	36551170	2	6	5	6	4	2	169	93	146	188	42	48
10819	chr20	36835310	36836430	24	93	29	111	36	71	53	99	50	66	26	118
10820	chr20	36836550	36836980	1	20	1	15	5	6	15	22	9	15	3	12
10821	chr20	36839300	36839650	14	29	15	28	12	27	20	33	23	40	12	27
10822	chr20	36861820	36862550	35	224	88	207	98	117	70	96	70	133	34	92
10823	chr20	36887130	36887600	16	19	5	21	11	16	11	15	6	24	4	22
10824	chr20	37294480	37295540	35	64	24	88	36	35	97	102	35	126	29	124
10825	chr20	37295550	37295970	11	37	10	37	17	16	35	38	34	43	10	43
10826	chr20	37335790	37336190	2	12	13	14	6	5	1	3	0	2	1	1
10827	chr20	37336210	37336720	8	29	15	28	19	16	4	0	1	0	2	1
10828	chr20	37378620	37379510	83	278	113	314	113	177	18	16	11	30	9	24
10829	chr20	37384320	37385110	106	287	126	341	113	165	15	22	13	35	8	29
10830	chr20	37406330	37406890	83	274	164	320	83	190	32	96	30	86	12	91
10831	chr20	37526180	37526570	8	16	8	12	10	11	16	11	11	14	8	12
10832	chr20	38108780	38109620	5	5	7	5	21	12	40	39	15	39	14	31
10833	chr20	38109860	38110620	5	8	4	9	10	13	50	23	22	37	18	36
10834	chr20	38143210	38144970	310	974	293	795	452	727	120	203	48	106	65	239
10835	chr20	38152580	38153160	79	178	50	229	144	150	14	38	11	20	12	46
10836	chr20	38167830	38168550	11	34	25	42	19	40	18	20	6	22	4	29
10837	chr20	38173100	38173960	15	53	22	75	26	34	18	17	9	26	9	48
10838	chr20	38217230	38218400	50	106	55	111	86	58	157	109	107	146	45	116
10839	chr20	38220810	38221370	6	30	10	28	16	18	11	15	4	8	2	12
10840	chr20	38291340	38291630	5	6	2	6	7	2	2	1	0	1	0	2
10841	chr20	38434620	38435750	66	188	115	276	179	140	96	144	89	195	70	261
10842	chr20	38446380	38447220	67	271	74	237	145	183	104	216	113	173	59	278
10843	chr20	38673770	38674090	1	0	0	0	0	0	8	29	13	15	5	10
10844	chr20	38674210	38674690	0	0	0	1	0	0	27	34	14	38	12	41
10845	chr20	39049690	39050420	63	138	95	160	107	106	124	117	92	110	63	159
10846	chr20	40562250	40562720	1	1	1	0	1	1	7	2	3	1	7	8
10847	chr20	40990580	40990880	1	6	0	7	24	29	14	13	7	3	10	33
10848	chr20	41002930	41004270	17	33	6	20	51	57	92	71	19	35	56	137
10849	chr20	41005170	41005790	10	3	1	5	35	29	15	27	2	2	14	33
10850	chr20	41008280	41008840	1	5	1	7	13	8	26	20	12	23	18	33
10851	chr20	41316560	41318320	98	274	126	225	242	203	140	200	144	233	62	221
10852	chr20	41329090	41330130	38	30	27	30	59	40	212	134	67	107	84	186
10853	chr20	41643420	41643950	10	32	8	23	21	11	5	4	1	4	0	6
10854	chr20	41692580	41693790	70	226	136	213	147	189	116	123	68	102	60	112
10855	chr20	42898690	42899150	0	0	0	0	0	0	0	0	0	0	3	5
10856	chr20	43657120	43658060	167	533	262	568	230	393	371	451	336	379	272	641
10857	chr20	43749970	43750340	0	1	0	0	1	1	1	9	2	0	4	17
10858	chr20	43752530	43752840	0	0	0	0	0	0	7	11	4	8	6	11
10859	chr20	43755620	43756430	0	1	0	1	0	0	31	25	1	8	20	42
10860	chr20	43844990	43845770	0	0	1	1	0	0	18	16	2	9	11	36
10861	chr20	43849630	43850300	11	8	6	13	14	15	19	18	1	7	5	19
10862	chr20	44089990	44090320	10	18	16	7	4	4	8	9	2	3	3	6
10863	chr20	44137220	44137680	0	0	1	0	2	3	3	5	7	3	3	13
10864	chr20	44166050	44167000	21	66	21	55	90	74	28	41	9	29	16	39
10865	chr20	44177080	44177430	4	6	5	6	19	16	11	27	9	12	30	45
10866	chr20	44279080	44279610	2	5	7	3	7	3	15	10	4	11	14	28
10867	chr20	44324400	44324840	3	10	9	9	8	6	1	2	2	2	1	1
10868	chr20	44326380	44327280	2	3	2	2	1	0	47	32	29	60	17	50
10869	chr20	44370390	44371100	25	50	31	53	54	40	0	0	0	0	0	0
10870	chr20	44407430	44407730	7	12	4	14	2	6	0	0	0	2	0	0
10871	chr20	44572480	44573450	13	14	6	17	9	9	90	99	11	46	23	86
10872	chr20	44609560	44610240	29	80	24	100	48	52	35	50	23	36	10	56
10873	chr20	44642230	44643040	81	105	74	128	118	71	29	17	15	15	13	13
10874	chr20	44643410	44644160	45	80	48	115	55	76	6	6	4	8	2	11
10875	chr20	44692890	44693490	31	35	18	51	16	14	8	6	2	15	1	2
10876	chr20	44720570	44721190	22	55	43	53	24	31	13	12	7	2	4	6
10877	chr20	44728810	44729960	96	234	89	213	155	139	95	77	69	102	13	43
10878	chr20	45014780	45016410	6	12	3	19	6	15	296	350	72	272	95	284
10879	chr20	45105200	45105550	0	0	0	0	0	0	10	7	5	8	8	20
10880	chr20	45293160	45294070	17	73	28	68	49	47	9	13	6	13	2	13
10881	chr20	45336510	45337320	7	51	14	36	23	24	101	117	84	162	14	52
10882	chr20	45337790	45338150	3	11	5	21	5	5	27	40	23	65	11	30
10883	chr20	45344160	45344670	17	50	17	55	28	20	151	102	77	169	39	57
10884	chr20	45358960	45359380	2	5	1	3	9	8	26	21	1	12	3	14
10885	chr20	45419630	45419880	6	12	2	7	10	10	10	6	2	9	3	6
10886	chr20	45436670	45437270	12	32	9	32	13	23	45	61	22	70	23	78
10887	chr20	45449480	45450060	0	1	0	1	1	3	7	1	1	3	3	6
10888	chr20	45771420	45771680	0	0	0	1	1	1	4	7	3	8	0	3
10889	chr20	45778760	45779800	12	14	2	6	2	7	124	139	29	155	26	54
10890	chr20	45781370	45781610	1	1	0	0	0	0	12	8	4	19	1	14
10891	chr20	46013750	46014240	8	13	4	33	18	16	30	34	16	45	10	28
10892	chr20	46022840	46023240	0	2	4	2	0	2	3	9	6	6	3	4
10893	chr20	46174580	46174830	1	0	0	1	0	1	3	0	2	5	4	6
10894	chr20	46215900	46216190	0	2	1	5	0	2	18	3	7	10	2	7
10895	chr20	46410790	46411160	0	6	2	4	2	2	5	6	5	2	2	12
10896	chr20	46562620	46563040	1	3	5	4	7	6	8	3	6	11	3	6
10897	chr20	46814860	46815170	7	8	6	11	5	2	12	2	5	5	3	7
10898	chr20	46827650	46828030	0	0	0	0	0	1	7	5	1	2	14	24
10899	chr20	46828050	46828570	0	0	0	0	0	0	6	3	1	2	4	15
10900	chr20	46954300	46954870	13	30	5	30	14	15	34	17	4	16	4	21
10901	chr20	46971270	46971560	2	13	2	13	3	8	0	4	1	4	2	7
10902	chr20	47125410	47126790	16	22	16	28	19	18	200	179	80	155	31	111
10903	chr20	47137160	47137640	2	1	1	2	1	0	37	15	12	13	6	29
10904	chr20	47146730	47147100	1	1	1	3	2	1	8	7	2	4	0	10
10905	chr20	47181310	47181560	0	3	2	4	5	3	4	1	1	0	0	1
10906	chr20	47274460	47275070	26	88	17	62	38	53	26	34	8	35	8	16
10907	chr20	47304410	47304870	16	36	13	31	24	24	21	43	7	16	12	39
10908	chr20	47305810	47306280	16	11	5	14	5	12	7	8	3	4	6	22
10909	chr20	47315270	47316050	66	90	41	88	100	82	177	226	60	96	58	187
10910	chr20	47317230	47317830	48	93	28	102	129	131	294	337	56	107	161	485
10911	chr20	47318530	47319150	97	205	101	169	180	204	315	360	65	164	230	413
10912	chr20	47330670	47331850	24	61	19	50	71	84	162	122	28	31	114	229
10913	chr20	47334220	47334570	14	22	6	18	32	33	93	74	24	26	26	70
10914	chr20	47335150	47335550	4	8	1	10	11	12	93	116	8	22	75	92
10915	chr20	47351640	47353030	86	224	94	221	207	207	86	85	40	54	50	102
10916	chr20	47359080	47359480	69	171	117	197	154	148	101	92	41	55	28	77
10917	chr20	47360020	47361340	237	675	234	662	474	481	197	211	60	165	90	159
10918	chr20	47380250	47380730	8	26	9	22	29	15	5	2	0	4	1	5
10919	chr20	47384010	47384420	2	11	9	12	8	7	9	2	2	2	1	5
10920	chr20	47391930	47392880	41	64	34	76	47	34	2	3	0	4	2	7
10921	chr20	47411300	47411770	1	0	0	0	0	2	3	1	0	0	6	10
10922	chr20	47432440	47433020	15	32	27	17	31	19	19	11	2	9	8	18
10923	chr20	47452850	47453780	27	51	35	48	21	43	52	69	55	111	14	46
10924	chr20	47455220	47455760	17	31	16	41	15	17	5	11	1	7	0	3
10925	chr20	47464480	47464790	5	10	4	16	13	11	12	8	1	11	5	22
10926	chr20	47704810	47705420	9	23	3	14	13	13	6	8	1	1	12	60
10927	chr20	47809660	47810010	1	3	0	5	2	3	6	14	10	7	7	17
10928	chr20	47894570	47894850	0	0	0	0	1	1	4	13	0	3	30	30
10929	chr20	47894870	47895590	0	0	0	2	0	0	11	8	2	0	42	40
10930	chr20	47895610	47895940	0	0	0	0	0	0	1	7	0	0	9	17
10931	chr20	47971950	47972570	1	3	2	3	3	8	5	6	4	9	6	22
10932	chr20	47972800	47973530	1	1	0	1	0	0	10	8	5	5	17	21
10933	chr20	47979150	47979630	0	3	1	0	1	3	1	0	0	2	5	15
10934	chr20	48024680	48025880	1	8	3	4	5	7	148	131	50	96	89	173
10935	chr20	48186270	48187550	1	0	0	1	0	0	65	34	8	11	31	54
10936	chr20	48295520	48296350	1	1	0	2	1	0	30	48	22	70	14	46
10937	chr20	48538320	48538970	6	7	3	8	17	6	66	16	21	25	33	35
10938	chr20	48614460	48615030	1	1	0	0	1	0	5	12	3	3	23	21
10939	chr20	48682600	48683100	2	3	1	3	0	1	3	8	1	1	4	8
10940	chr20	48788020	48788610	0	2	0	4	1	1	27	21	15	25	11	21
10941	chr20	48841590	48842100	1	1	0	1	1	1	15	12	9	10	8	9
10942	chr20	48846410	48847050	1	4	1	4	7	3	25	18	11	16	7	21
10943	chr20	48897370	48897960	2	9	1	5	6	4	14	11	5	5	3	7
10944	chr20	49193390	49193750	0	0	0	0	0	0	11	13	10	17	2	14
10945	chr20	49280920	49281440	101	271	93	266	174	177	297	288	85	294	92	267
10946	chr20	49286870	49287440	97	247	97	216	175	168	357	282	129	297	115	298
10947	chr20	49343040	49343700	0	2	0	1	3	2	171	116	82	153	50	165
10948	chr20	49345010	49345860	3	3	2	9	11	7	203	157	57	167	50	166
10949	chr20	49347470	49348030	0	0	0	0	0	0	51	61	10	35	3	20
10950	chr20	49381750	49382220	0	1	1	2	3	4	12	10	2	2	11	27
10951	chr20	49484020	49484540	0	4	2	6	6	5	8	20	11	15	11	25
10952	chr20	49507600	49508610	0	0	0	0	0	0	29	40	1	1	14	61
10953	chr20	49508630	49509060	0	0	0	0	0	0	25	21	1	2	10	26
10954	chr20	49510430	49511260	0	0	0	0	0	1	47	69	6	17	30	114
10955	chr20	49562270	49562620	1	2	2	6	1	3	15	11	3	10	5	15
10956	chr20	49575650	49576090	0	2	0	1	6	1	13	31	3	18	9	18
10957	chr20	49583580	49584410	20	43	13	57	25	23	0	2	1	0	0	0
10958	chr20	49604460	49605410	4	4	3	3	14	13	23	20	3	12	11	32
10959	chr20	49610550	49610910	3	20	9	17	6	11	5	7	4	4	1	4
10960	chr20	49615560	49616430	29	63	48	65	51	53	1	0	0	0	0	0
10961	chr20	49674450	49675270	68	106	65	148	55	44	129	74	81	131	38	47
10962	chr20	49699350	49699720	6	26	22	23	17	10	15	14	4	18	4	8
10963	chr20	49706590	49706900	17	28	11	26	15	7	25	15	8	22	4	14
10964	chr20	49747830	49748110	8	5	2	6	4	5	0	0	0	1	0	0
10965	chr20	49765090	49765490	2	8	2	11	10	4	0	1	0	0	0	0
10966	chr20	49768220	49768670	15	26	10	19	16	17	1	2	1	0	0	5
10967	chr20	49775240	49776140	14	43	20	45	11	29	2	4	3	4	0	4
10968	chr20	49789980	49790700	13	44	13	40	14	26	0	0	1	0	0	2
10969	chr20	49989010	49990400	3	23	6	26	3	12	73	140	63	125	68	265
10970	chr20	50029820	50030310	17	28	13	30	32	21	2	0	1	1	1	2
10971	chr20	50033840	50034090	5	11	2	6	6	6	4	1	3	6	0	3
10972	chr20	50034630	50035170	20	31	15	24	14	16	4	5	2	7	1	2
10973	chr20	50071270	50071630	1	4	1	5	7	6	20	23	8	16	8	23
10974	chr20	50144340	50144760	5	19	7	11	7	11	6	9	5	9	2	9
10975	chr20	50165700	50166570	22	45	21	43	24	30	41	41	32	32	13	54
10976	chr20	50171910	50172890	48	134	61	163	60	79	21	19	6	9	2	8
10977	chr20	50192060	50192740	90	204	73	187	195	210	135	181	72	103	60	149
10978	chr20	50224470	50225050	4	16	7	20	13	13	12	18	1	7	7	50
10979	chr20	50226490	50227120	14	12	14	12	12	18	6	4	2	4	1	8
10980	chr20	50242930	50243530	0	0	0	0	0	0	49	32	27	36	16	31
10981	chr20	50248120	50248650	4	7	10	7	3	6	4	3	1	3	3	5
10982	chr20	50259870	50260230	7	8	6	6	9	7	7	3	0	0	5	7
10983	chr20	50278700	50279240	3	35	9	24	13	31	5	2	2	0	1	10
10984	chr20	50283760	50284570	18	75	25	38	29	47	19	16	11	19	3	9
10985	chr20	50285780	50287000	65	130	61	139	100	109	113	97	70	100	36	122
10986	chr20	50292340	50293160	62	117	45	134	86	73	28	17	10	12	6	18
10987	chr20	50305760	50306580	67	122	69	138	97	106	23	29	3	8	11	41
10988	chr20	50308410	50309590	93	338	203	315	206	309	153	224	66	143	73	288
10989	chr20	50312740	50313380	15	45	25	37	25	48	36	35	18	37	12	46
10990	chr20	50320290	50322140	253	646	261	545	501	521	215	240	91	187	61	218
10991	chr20	50373460	50374360	12	19	15	14	27	31	9	11	2	0	8	33
10992	chr20	50376850	50377250	25	18	21	18	27	30	0	1	0	0	0	0
10993	chr20	50398910	50399850	27	53	15	42	54	45	7	11	0	4	0	9
10994	chr20	50399870	50400360	8	18	0	10	25	19	0	2	0	0	1	0
10995	chr20	50415190	50416270	142	240	67	146	351	207	206	114	10	5	73	175
10996	chr20	50422200	50423650	32	36	13	22	100	93	246	316	13	16	160	281
10997	chr20	50430060	50431520	2	2	2	1	5	9	280	275	57	70	146	337
10998	chr20	50438990	50440110	72	177	42	120	132	201	119	115	20	23	29	167
10999	chr20	50440540	50440770	6	18	3	15	13	16	34	28	18	15	26	53
11000	chr20	50440790	50441790	21	29	14	19	46	53	105	116	15	28	52	162
11001	chr20	50449290	50449610	1	0	0	0	3	0	22	31	2	4	12	39
11002	chr20	50450950	50451780	18	56	15	48	78	62	37	55	2	5	32	64
11003	chr20	50460550	50461000	2	16	2	7	15	18	3	5	0	1	1	2
11004	chr20	50483320	50484050	45	102	26	96	62	58	48	54	26	50	19	72
11005	chr20	50540400	50541920	24	54	18	49	45	53	375	334	114	305	129	340
11006	chr20	50560960	50561900	16	28	9	17	16	25	99	116	41	72	65	118
11007	chr20	50645320	50646120	16	28	6	36	11	21	34	36	16	55	13	40
11008	chr20	50661410	50661890	6	18	11	27	13	18	1	0	0	0	2	0
11009	chr20	50670280	50670470	1	1	0	8	6	2	0	0	0	0	0	0
11010	chr20	50670490	50670850	8	14	4	24	10	13	1	0	0	0	0	0
11011	chr20	50724670	50725360	34	76	39	85	55	64	61	51	22	27	15	72
11012	chr20	50727690	50728320	43	93	48	124	51	85	2	4	0	5	1	2
11013	chr20	50744370	50744980	42	57	29	77	77	65	18	19	14	18	6	30
11014	chr20	50761550	50762080	38	74	26	75	54	61	14	8	4	6	3	10
11015	chr20	50762630	50763180	25	57	27	63	60	44	10	5	4	1	2	2
11016	chr20	50790120	50791310	59	168	38	135	107	112	282	299	92	210	148	392
11017	chr20	50818280	50818850	7	40	12	27	28	21	14	5	4	18	1	16
11018	chr20	50929360	50929730	17	38	12	51	26	25	86	102	18	86	28	97
11019	chr20	50929750	50930150	4	25	6	29	18	23	48	43	33	71	22	51
11020	chr20	50980140	50980780	0	0	0	0	0	2	9	8	2	4	0	3
11021	chr20	51025930	51026680	1	0	0	0	0	0	4	1	0	0	32	68
11022	chr20	51121300	51121710	7	8	2	4	18	34	3	1	0	0	7	14
11023	chr20	51121730	51122410	6	4	2	3	13	15	3	2	0	0	14	26
11024	chr20	51128220	51128550	0	3	0	3	2	3	1	0	0	0	0	0
11025	chr20	51190780	51191170	0	0	0	0	0	0	3	3	3	1	1	7
11026	chr20	51258630	51258900	0	0	0	0	0	1	3	1	2	7	0	0
11027	chr20	51327350	51328250	2	2	1	0	0	1	387	425	99	184	124	382
11028	chr20	51330700	51332050	1	4	2	3	0	3	366	482	133	282	181	532
11029	chr20	51335310	51335870	0	0	0	5	0	0	32	25	9	21	9	28
11030	chr20	51346000	51346680	0	2	5	5	1	7	50	57	28	43	7	26
11031	chr20	51365670	51367310	18	25	6	23	25	32	241	349	100	294	83	242
11032	chr20	51456450	51457610	24	90	24	115	96	106	115	89	57	86	56	102
11033	chr20	51487530	51488310	1	4	5	1	3	0	78	68	51	80	16	43
11034	chr20	51532910	51534180	1	2	0	2	2	0	73	55	47	76	10	27
11035	chr20	51631160	51631760	11	21	4	27	18	25	22	32	0	3	12	54
11036	chr20	51687130	51687430	5	8	4	12	3	3	8	11	4	5	3	7
11037	chr20	51749970	51750760	26	60	28	64	35	44	67	54	38	75	19	50
11038	chr20	51752200	51752850	5	14	9	24	2	12	26	25	10	30	7	39
11039	chr20	51800160	51800480	1	15	3	17	2	1	2	1	0	4	0	3
11040	chr20	51860330	51860750	2	4	6	2	2	0	60	56	37	87	7	21
11041	chr20	51861710	51862670	1	2	1	0	1	2	103	120	73	136	30	78
11042	chr20	51862680	51863390	0	4	0	0	1	1	145	114	77	169	24	115
11043	chr20	51910250	51911200	8	21	6	16	10	7	40	20	8	40	1	13
11044	chr20	51984940	51985630	5	6	1	6	4	1	32	29	11	35	9	33
11045	chr20	51985680	51986070	0	1	0	2	2	0	27	10	5	20	11	24
11046	chr20	52031620	52032400	6	19	20	13	11	11	47	37	24	48	13	45
11047	chr20	52048990	52049580	1	10	3	3	3	3	13	15	3	6	9	12
11048	chr20	52484420	52484850	0	0	0	0	0	0	12	6	3	9	2	7
11049	chr20	52490470	52491140	0	1	0	1	2	0	59	47	27	93	13	45
11050	chr20	52492890	52494560	0	1	0	2	1	1	100	122	52	183	13	75
11051	chr20	52923200	52923720	0	0	0	1	0	0	26	14	5	11	4	7
11052	chr20	53162080	53162750	2	2	2	0	0	2	54	29	20	38	14	48
11053	chr20	53331200	53331960	0	0	0	0	0	0	25	8	5	10	5	25
11054	chr20	53346190	53347020	0	0	0	0	0	0	31	29	2	11	24	62
11055	chr20	53579640	53580170	25	91	17	71	31	43	35	47	9	29	7	29
11056	chr20	53592840	53594440	115	358	156	389	171	238	115	213	98	185	70	193
11057	chr20	53611340	53612100	23	35	22	29	17	23	86	85	48	83	18	105
11058	chr20	53621650	53622550	44	135	38	107	46	62	46	46	10	43	20	46
11059	chr20	53623050	53624190	29	86	41	99	38	48	81	115	27	82	44	173
11060	chr20	53642450	53643740	45	126	55	125	45	80	9	8	9	10	2	6
11061	chr20	53652270	53652790	9	31	24	23	9	27	0	0	0	1	0	0
11062	chr20	53654890	53655600	24	55	23	40	33	27	0	0	0	0	1	0
11063	chr20	53656460	53656750	4	10	7	16	9	7	0	0	0	1	0	0
11064	chr20	53660320	53660520	1	6	0	1	5	4	0	0	0	0	0	0
11065	chr20	53677780	53678440	16	32	15	37	29	21	0	0	1	0	3	3
11066	chr20	53735550	53736490	10	37	26	53	27	21	89	59	60	108	21	27
11067	chr20	53736740	53737290	14	19	10	19	17	4	35	25	14	57	9	17
11068	chr20	53738290	53739010	59	188	59	219	90	83	25	26	20	33	10	13
11069	chr20	53740160	53740710	16	43	17	30	21	18	23	19	20	24	5	20
11070	chr20	53752930	53753980	78	242	45	226	89	110	19	12	8	30	7	16
11071	chr20	53763700	53764540	19	53	23	40	25	30	3	2	1	0	1	5
11072	chr20	53773670	53775360	27	85	25	67	36	24	216	189	83	217	61	135
11073	chr20	53786190	53786640	4	9	0	12	10	5	1	1	0	0	0	0
11074	chr20	53805540	53806090	3	29	13	21	7	16	6	4	4	10	3	4
11075	chr20	53826850	53827370	8	52	9	45	14	34	16	36	0	5	4	17
11076	chr20	53827840	53830540	128	309	158	304	243	315	626	747	233	486	228	760
11077	chr20	53833810	53834510	0	0	2	0	0	0	24	27	15	32	9	27
11078	chr20	53869680	53870110	7	14	6	13	12	13	5	11	2	3	2	7
11079	chr20	53892850	53893670	10	27	12	21	26	8	45	48	8	34	4	23
11080	chr20	53899170	53899810	8	21	7	14	13	10	27	45	17	38	10	38
11081	chr20	53900390	53901530	14	55	21	48	28	25	46	118	13	58	7	68
11082	chr20	53915360	53916270	21	67	32	78	55	51	109	71	26	60	28	68
11083	chr20	53926330	53927060	15	27	7	17	10	10	27	16	9	21	10	40
11084	chr20	53939630	53940140	7	11	8	10	8	3	0	0	0	0	1	1
11085	chr20	53949280	53950100	0	1	3	1	0	1	24	28	12	31	11	13
11086	chr20	54067560	54068070	1	8	0	12	1	0	10	3	3	7	0	5
11087	chr20	54107450	54108100	36	62	66	63	18	9	0	0	0	0	0	0
11088	chr20	54115200	54116020	36	103	82	108	27	27	2	0	0	0	0	1
11089	chr20	54121920	54122430	11	21	19	21	4	2	3	5	1	3	0	1
11090	chr20	54122780	54123070	14	16	19	31	2	1	8	8	4	9	0	3
11091	chr20	54123090	54124090	36	114	49	131	20	29	56	81	41	103	12	45
11092	chr20	54132750	54133960	72	203	130	256	20	31	67	107	46	115	9	55
11093	chr20	54138950	54139540	1	0	2	3	0	2	55	47	13	47	14	43
11094	chr20	54140440	54141090	3	3	1	3	0	0	81	98	46	137	9	49
11095	chr20	54149050	54149940	94	273	132	317	9	27	3	5	1	5	1	2
11096	chr20	54152380	54152750	95	377	228	441	18	64	8	5	1	4	4	4
11097	chr20	54168010	54168620	270	681	278	663	54	70	20	13	12	33	3	4
11098	chr20	54619150	54619560	0	0	0	1	0	0	4	9	6	21	6	14
11099	chr20	55159850	55160450	0	0	0	0	0	0	26	17	65	49	2	12
11100	chr20	55160760	55161230	0	0	0	0	0	0	6	6	10	27	1	3
11101	chr20	56222190	56223020	1	2	1	0	5	1	73	39	12	41	43	107
11102	chr20	56223190	56223690	0	0	0	0	0	0	26	24	6	19	49	42
11103	chr20	56689350	56689690	1	0	1	0	0	0	2	5	1	2	1	3
11104	chr20	56781020	56781550	8	28	16	33	12	18	3	4	3	0	1	3
11105	chr20	56781710	56781960	3	11	3	12	3	4	1	1	1	0	1	0
11106	chr20	56787510	56788910	49	119	48	124	57	65	226	154	97	226	50	155
11107	chr20	56987350	56987870	2	0	0	0	0	0	7	12	1	1	9	52
11108	chr20	56987890	56989130	1	0	1	0	0	0	79	49	15	16	80	178
11109	chr20	57031060	57031690	8	13	8	8	10	4	0	0	0	0	0	0
11110	chr20	57047480	57047950	4	7	5	8	3	2	0	0	0	0	1	3
11111	chr20	57212450	57213050	4	11	2	11	9	2	29	21	19	34	6	23
11112	chr20	57213070	57213300	3	1	1	1	0	1	8	16	9	20	4	10
11113	chr20	57250920	57251530	1	1	0	0	0	0	14	21	16	19	14	40
11114	chr20	57389190	57389520	0	1	1	3	3	2	60	36	19	52	24	41
11115	chr20	57449760	57450240	1	0	0	0	1	0	9	5	1	0	14	13
